nong	n o ng
li	l i
pônhoâm	p ô n h o â m
ta	t a
thöc	th ö c
2900	2 9 0 0
nao	n a o
khoê	kh o ê
bằng	b ằ ng
9215	9 2 1 5
kruoâêi	kr u o â ê i
xet	x e t
tôbaêng	t ô b a ê ng
baêc	b a ê c
tdtt	t d t t
8177	8 1 7 7
naê	n a ê
thai	th a i
381	3 8 1
göông	g ö ô ng
kôdôêu	k ô d ô ê u
mi	m i
thoâ	th o â
07	0 7
coâ	c o â
noâ	n o â
pôloh	p ô l o h
50	5 0
319	3 1 9
bom	b o m
mui	m u i
nöôc	n ö ô c
döa	d ö a
khoa	kh o a
i	i
chôkanh	ch ô k a n h
ñt	ñ t
döôc	d ö ô c
421	4 2 1
tônai	t ô n a i
6	6
thök	th ö k
vieât	v ie â t
lô	l ô
su	s u
trök	tr ö k
caê	c a ê
pôtep	p ô t e p
thöêk	th ö ê k
hieâp	h i e â p
hoêp	h o ê p
cực	c ự c
cöêu	c ö ê u
baêt	b a ê t
367	3 6 7
quoâc	q u o â c
caêo	c a ê o
pôgei	p ô g e i
62	6 2
met	m e t
2801	2 8 0 1
dat	d a t
chöak	ch ö a k
51	5 1
baâm	b a â m
puoâl	p u o â l
xv	x v
pháp	ph á p
tröông	tr ö ô ng
quan	q u a n
4650	4 6 5 0
11738	1 1 7 3 8
phaê	ph a ê
992	9 9 2
69	6 9
gônôm	g ô n ô m
ñuoêâi	ñ u o ê â i
1911	1 9 1 1
haø	h a ø
144	1 4 4
thich	th i ch
haysang	h a y s a n g
lôkah	l ô k a h
574	5 7 4
khcn	kh c n
hnam	hn a m
khaùnginh	kh a ù ng i n h
ksôê	k s ô ê
kanh	k a n h
döông	d ö ô ng
pôtho	p ô th o
04	0 4
ôbôuminh	ô b ô u m i n h
hướng	h ư ớ ng
ñoângminh	ñ o â ng m i n h
cöu	c ö u
1312	1 3 1 2
2kg	2 k g
hoùa	h o ù a
nhung	n h u ng
tôl	t ô l
sach	s a c h
trinh	tr i n h
suaât	s u a â t
tônpa	t ô n p a
7777	7 7 7 7
troâi	tr o â i
jiê	j i ê
273	2 7 3
nhaât	n h a â t
tơjul	t ơ j u l
ôdrôu	ô dr ô u
tôdaêm	t ô d a ê m
cty	c t y
chieâu	ch ie â u
vuoâng	v u o â ng
baê	b a ê
pôlôk	p ô l ô k
toâi	t o â i
87	8 7
xuaât	x ua â t
